t,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3
0.000000000000000000e+00,5.999999999999999778e-01,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.526600082700115854e+04,1.526600082700115854e+04,1.526600082700115854e+04,1.526600082700115854e+04
2.083333333333333218e-02,5.999999999999999778e-01,0.000000000000000000e+00,9.975781534101250958e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.449910762900893629e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.531452594864377534e+04,1.531452594864377170e+04,1.531452594864377170e+04,1.531452594864377170e+04
4.166666666666666435e-02,5.999999999999999778e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.532346638169900507e+04,1.532346638169900507e+04,1.532346638169900507e+04,1.532346638169900507e+04
6.250000000000000000e-02,5.999999999999999778e-01,0.000000000000000000e+00,9.975855749134544814e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.414287741812073451e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.531434824876940002e+04,1.531434824876940002e+04,1.531434824876940002e+04,1.531434824876940002e+04
8.333333333333332871e-02,5.999999999999999778e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.532378588184315777e+04,1.532378588184315777e+04,1.532378588184315777e+04,1.532378588184315777e+04
1.041666666666666574e-01,5.999999999999999778e-01,0.000000000000000000e+00,9.975856162538497551e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.414089308995241906e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.531466516853255234e+04,1.531466516853255780e+04,1.531466516853255780e+04,1.531466516853255598e+04
1.250000000000000000e-01,5.999999999999999778e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.532410537532528906e+04,1.532410537532528542e+04,1.532410537532528542e+04,1.532410537532528542e+04
1.458333333333333148e-01,5.999999999999999778e-01,-1.706042577168260704e-28,9.975856575942444737e-02,0.000000000000000000e+00,-1.497336630072632491e-25,-3.413890876180481621e-02,7.662725539647844548e-19,0.000000000000000000e+00,0.000000000000000000e+00,2.318919797396424198e-16,-2.318919797396424198e-16,-1.665439290106360913e-16,1.531498208173698004e+04,1.531498208173697822e+04,1.531498208173697822e+04,1.531498208173697822e+04
1.666666666666666574e-01,5.999999999999999778e-01,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.532442486214580640e+04,1.532442486214580822e+04,1.532442486214580822e+04,1.532442486214580822e+04
1.875000000000000000e-01,5.999999999999999778e-01,-1.262998551405714274e-28,9.975856989346389148e-02,3.095947436522640926e-37,-1.108459826284500732e-25,-3.413692443367787738e-02,5.673084009225078466e-19,0.000000000000000000e+00,0.000000000000000000e+00,-2.318919797396424198e-16,1.159459898698212099e-16,8.327196450531804565e-17,1.531529898838307599e+04,1.531529898838307417e+04,1.531529898838307417e+04,1.531529898838307417e+04
