t,x,y,z,vx,vy,vz,roll,pitch,yaw,wx,wy,wz,rpm0,rpm1,rpm2,rpm3
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.498348081686096521e+04,1.498348081686096339e+04,1.498348081686096339e+04,1.498348081686096521e+04
2.083333333333333218e-02,-2.579960166413799310e-39,-1.270571729198058085e-28,9.975420721582732575e-02,-2.476760807122463981e-36,-1.148499779600109239e-25,-3.623099796805226425e-02,5.401317972145386322e-19,0.000000000000000000e+00,0.000000000000000000e+00,1.159459898698212099e-16,-2.318919797396424198e-16,2.693600265336783261e-35,1.503532198464626708e+04,1.503532198464626345e+04,1.503532198464626345e+04,1.503532198464626345e+04
4.166666666666666435e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504190739167658285e+04,1.504190739167657921e+04,1.504190739167657921e+04,1.504190739167658285e+04
6.250000000000000000e-02,0.000000000000000000e+00,-3.424530062499819299e-28,9.975494786902201760e-02,0.000000000000000000e+00,-3.080380352575054631e-25,-3.587548647316122358e-02,1.469317342128764412e-18,0.000000000000000000e+00,0.000000000000000000e+00,-1.159459898698212099e-16,-6.956759392189272594e-16,2.198215474278013730e-34,1.503502361358273811e+04,1.503502361358273447e+04,1.503502361358273447e+04,1.503502361358273447e+04
8.333333333333332871e-02,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504211453455835544e+04,1.504211453455835544e+04,1.504211453455835544e+04,1.504211453455835544e+04
1.041666666666666574e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.975495050002526620e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.587422359880640399e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503522905525103488e+04,1.503522905525103488e+04,1.503522905525103488e+04,1.503522905525103488e+04
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504232167458723961e+04,1.504232167458724325e+04,1.504232167458724325e+04,1.504232167458724325e+04
1.458333333333333148e-01,0.000000000000000000e+00,-1.703854803754518473e-28,9.975495313102850092e-02,0.000000000000000000e+00,-1.532571592281063172e-25,-3.587296072446125028e-02,7.310983627518147377e-19,0.000000000000000000e+00,0.000000000000000000e+00,-2.318919797396424198e-16,2.318919797396424198e-16,1.249079467579770623e-16,1.503543449411183428e+04,1.503543449411184156e+04,1.503543449411184156e+04,1.503543449411183974e+04
1.666666666666666574e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504252881176336450e+04,1.504252881176336450e+04,1.504252881176336450e+04,1.504252881176336450e+04
1.875000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.975495576203172177e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.587169785012574164e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503563993016525819e+04,1.503563993016526183e+04,1.503563993016526183e+04,1.503563993016526183e+04
2.083333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504273594608683379e+04,1.504273594608683379e+04,1.504273594608683379e+04,1.504273594608683379e+04
2.291666666666666574e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.975495839303491485e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.587043497579990581e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503584536341141938e+04,1.503584536341141938e+04,1.503584536341141938e+04,1.503584536341141938e+04
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504294307755777481e+04,1.504294307755777299e+04,1.504294307755777299e+04,1.504294307755777299e+04
2.708333333333333148e-01,0.000000000000000000e+00,-6.930272943321033401e-29,9.975496102403808019e-02,0.000000000000000000e+00,-6.233267548934218534e-26,-3.586917210148372198e-02,2.973969318393968460e-19,0.000000000000000000e+00,0.000000000000000000e+00,-7.375384568899662043e-36,-1.159459898698212099e-16,-8.327196450531804565e-17,1.503605079385042518e+04,1.503605079385042518e+04,1.503605079385042518e+04,1.503605079385042518e+04
2.916666666666666297e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504315020617629489e+04,1.504315020617629489e+04,1.504315020617629489e+04,1.504315020617629489e+04
3.125000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.975496365504123164e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.586790922717721791e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503625622148239381e+04,1.503625622148239381e+04,1.503625622148239381e+04,1.503625622148239381e+04
3.333333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504335733194252134e+04,1.504335733194252134e+04,1.504335733194252134e+04,1.504335733194252134e+04
3.541666666666666297e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.975496628604436922e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.586664635288035891e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503646164630743988e+04,1.503646164630744352e+04,1.503646164630744352e+04,1.503646164630744352e+04
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504356445485656695e+04,1.504356445485656877e+04,1.504356445485656877e+04,1.504356445485656877e+04
3.958333333333333148e-01,-1.289980083206899655e-39,-1.321874524832428104e-28,9.975496891704747904e-02,-6.191899636219201142e-37,-1.188865828402633710e-25,-3.586538347859313108e-02,5.673084009225078466e-19,0.000000000000000000e+00,0.000000000000000000e+00,-2.318919797396424198e-16,1.159459898698212099e-16,8.327196450531804565e-17,1.503666706832568889e+04,1.503666706832568525e+04,1.503666706832568525e+04,1.503666706832568525e+04
4.166666666666666297e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504377157491855542e+04,1.504377157491855542e+04,1.504377157491855542e+04,1.504377157491855542e+04
4.375000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.975497154805056110e-02,0.000000000000000000e+00,0.000000000000000000e+00,-3.586412060431558996e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.503687248753723907e+04,1.503687248753723725e+04,1.503687248753723725e+04,1.503687248753723725e+04
4.583333333333333148e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.991484405809418490e-02,0.000000000000000000e+00,0.000000000000000000e+00,-4.087471471142605645e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.504397869212859769e+04,1.504397869212859950e+04,1.504397869212859950e+04,1.504397869212859950e+04
4.791666666666666297e-01,0.000000000000000000e+00,-1.274592842309431087e-28,9.975497417905362929e-02,0.000000000000000000e+00,-1.146301565235424497e-25,-3.586285773004768002e-02,5.470525333192132350e-19,0.000000000000000000e+00,0.000000000000000000e+00,-2.318919797396424198e-16,1.159459898698212099e-16,4.163598225265902282e-17,1.503707790394221593e+04,1.503707790394221229e+04,1.503707790394221229e+04,1.503707790394221229e+04
